,representation,max_depth,max_features,min_samples_split,n_estimators,mean_val_acc,mean_val_tpr,mean_val_tnr
0,X_bot_feat,5,50,5,100,0.941199915844593,0.5569500674763833,1.0
1,X_bot_feat,5,50,5,200,0.9415412127729207,0.5593117408906882,1.0
2,X_bot_feat,5,50,10,100,0.9415412127729207,0.55944669365722,1.0
3,X_bot_feat,5,50,10,200,0.941198747019496,0.5567476383265857,1.0
4,X_bot_feat,5,50,15,100,0.9415412127729207,0.55944669365722,1.0
5,X_bot_feat,5,50,15,200,0.9411975781943991,0.5567476383265857,1.0
6,X_bot_feat,5,100,5,100,0.9634134368133151,0.726855600539811,0.9996062992125985
7,X_bot_feat,5,100,5,200,0.9617011080461919,0.7137651821862347,0.9996062992125985
8,X_bot_feat,5,100,10,100,0.9610208518397307,0.7087044534412955,0.9996062992125985
9,X_bot_feat,5,100,10,200,0.9623860395530413,0.7189608636977058,0.9996062992125985
10,X_bot_feat,5,100,15,100,0.9610208518397305,0.7087044534412954,0.9996062992125985
11,X_bot_feat,5,100,15,200,0.9620435737996166,0.7163292847503373,0.9996062992125985
12,X_bot_feat,5,250,5,100,0.9733297489363691,0.8116059379217274,0.9980268276742088
13,X_bot_feat,5,250,5,200,0.9726436486044229,0.8039136302294196,0.9984220845912046
14,X_bot_feat,5,250,10,100,0.9723035205011922,0.8012820512820513,0.9984220845912046
15,X_bot_feat,5,250,10,200,0.9719598859226706,0.7987179487179488,0.9984220845912046
16,X_bot_feat,5,250,15,100,0.9723035205011922,0.8013495276653171,0.9984220845912046
17,X_bot_feat,5,250,15,200,0.9723023516760951,0.8012820512820513,0.9984220845912046
18,X_bot_feat,5,500,5,100,0.9733309177614661,0.8297570850202429,0.995269366032803
19,X_bot_feat,5,500,5,200,0.9736722146897939,0.8297570850202429,0.9956646229497992
20,X_bot_feat,5,500,10,100,0.9729884520080414,0.8245614035087719,0.9956646229497992
21,X_bot_feat,5,500,10,200,0.973673383514891,0.8297570850202429,0.9956646229497992
22,X_bot_feat,5,500,15,100,0.9726471550797138,0.8220647773279353,0.9956646229497992
